timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent
4.201,15.853,1018925056,971.72,999.49,0.0000,0.00,4221
4.216,14.632,1018925056,971.72,999.49,0.0000,0.00,4235
4.234,17.959,1018925056,971.72,999.49,0.0000,0.00,4253
4.248,14.460,1018925056,971.72,999.49,0.0000,0.00,4268
4.265,17.232,1018925056,971.72,999.49,0.0000,0.00,4285
4.282,16.407,1018925056,971.72,999.49,0.0000,0.00,4301
4.296,14.306,1018925056,971.72,999.49,0.0000,0.00,4316
4.314,18.288,1018925056,971.72,999.49,0.0000,0.00,4334
4.328,14.106,1018925056,971.72,999.49,0.0000,0.00,4348
4.343,14.216,1018925056,971.72,999.49,0.0000,0.00,4362
4.357,14.435,1018925056,971.72,999.49,0.0000,0.00,4377
4.371,13.649,1018925056,971.72,999.49,0.0000,0.00,4390
4.384,13.682,1018925056,971.72,999.49,0.0000,0.00,4404
4.400,15.548,1018925056,971.72,999.49,0.0000,0.00,4419
4.418,17.808,1018925056,971.72,999.49,0.0000,0.00,4437
4.434,16.674,1018925056,971.72,999.49,0.0000,0.00,4454
4.449,14.873,1018925056,971.72,999.49,0.0000,0.00,4469
4.463,13.696,1018925056,971.72,999.49,0.0000,0.00,4483
4.478,14.828,1018925056,971.72,999.49,0.0000,0.00,4497
4.495,16.707,1018925056,971.72,999.49,0.0000,0.00,4514
4.508,13.562,1018925056,971.72,999.49,0.0000,0.00,4528
4.523,14.592,1018925056,971.72,999.49,0.0000,0.00,4542
4.537,13.820,1018925056,971.72,999.49,0.0000,0.00,4556
4.550,12.970,1018925056,971.72,999.49,0.0000,0.00,4569
4.563,13.515,1018925056,971.72,999.49,0.0000,0.00,4583
4.577,14.387,1018925056,971.72,999.49,0.0000,0.00,4597
4.591,13.492,1018925056,971.72,999.49,0.0000,0.00,4610
4.605,13.806,1018925056,971.72,999.49,0.0000,0.00,4624
4.618,13.317,1018925056,971.72,999.49,0.0000,0.00,4638
4.631,13.037,1018925056,971.72,999.49,0.0000,0.00,4651
4.645,13.798,1018925056,971.72,999.49,0.0000,0.00,4664
4.659,13.712,1018925056,971.72,999.49,0.0000,0.00,4678
4.676,17.841,1018925056,971.72,999.49,0.0000,0.00,4696
4.690,13.439,1018925056,971.72,999.49,0.0000,0.00,4709
4.704,14.430,1018925056,971.72,999.49,0.0000,0.00,4724
4.718,13.792,1018925056,971.72,999.49,0.0000,0.00,4738
4.732,14.320,1018925056,971.72,999.49,0.0000,0.00,4752
4.745,12.742,1018925056,971.72,999.49,0.0000,0.00,4765
4.759,13.989,1018925056,971.72,999.49,0.0000,0.00,4779
4.772,13.273,1018925056,971.72,999.49,0.0000,0.00,4792
4.785,13.067,1018925056,971.72,999.49,0.0000,0.00,4805
4.800,14.090,1018925056,971.72,999.49,0.0000,0.00,4819
4.813,13.499,1018925056,971.72,999.49,0.0000,0.00,4833
4.831,18.199,1018925056,971.72,999.49,0.0000,0.00,4851
4.845,13.304,1018925056,971.72,999.49,0.0000,0.00,4864
4.858,13.193,1018925056,971.72,999.49,0.0000,0.00,4877
4.871,13.561,1018925056,971.72,999.49,0.0000,0.00,4891
4.884,13.065,1018925056,971.72,999.49,0.0000,0.00,4904
4.898,13.798,1018925056,971.72,999.49,0.0000,0.00,4918
4.912,13.434,1018925056,971.72,999.49,0.0000,0.00,4931
4.926,14.248,1018925056,971.72,999.49,0.0000,0.00,4945
4.940,13.628,1018925056,971.72,999.49,0.0000,0.00,4959
4.953,13.565,1018925056,971.72,999.49,0.0000,0.00,4973
4.966,12.807,1018925056,971.72,999.49,0.0000,0.00,4985
4.980,13.698,1018925056,971.72,999.49,0.0000,0.00,4999
4.994,14.002,1018925056,971.72,999.49,0.0000,0.00,5013
5.006,12.916,1018925056,971.72,999.49,0.0000,0.00,5026
5.020,13.661,1018925056,971.72,999.49,0.0000,0.00,5040
5.034,13.488,1018925056,971.72,999.93,0.0000,0.00,5053
5.048,14.117,1036673024,988.65,999.93,0.0000,0.00,5067
5.061,13.459,1036673024,988.65,999.93,0.0000,0.00,5081
5.077,15.293,1036673024,988.65,999.93,0.0000,0.00,5096
5.089,12.582,1036673024,988.65,999.93,0.0000,0.00,5109
5.102,13.361,1036673024,988.65,999.93,0.0000,0.00,5122
5.116,13.209,1036673024,988.65,999.93,0.0000,0.00,5135
5.129,13.517,1036673024,988.65,999.93,0.0000,0.00,5149
5.143,13.416,1036673024,988.65,999.93,0.0000,0.00,5162
5.156,13.835,1036673024,988.65,999.93,0.0000,0.00,5176
5.170,13.239,1036673024,988.65,999.93,0.0000,0.00,5189
5.183,13.733,1036673024,988.65,999.93,0.0000,0.00,5203
5.197,13.686,1036673024,988.65,999.93,0.0000,0.00,5217
5.212,14.498,1036673024,988.65,999.93,0.0000,0.00,5231
5.225,13.527,1036673024,988.65,999.93,0.0000,0.00,5245
5.238,13.014,1036673024,988.65,999.93,0.0000,0.00,5258
5.252,13.459,1036673024,988.65,999.93,0.0000,0.00,5271
5.264,12.689,1036673024,988.65,999.93,0.0000,0.00,5284
5.278,13.940,1036673024,988.65,999.93,0.0000,0.00,5298
5.292,13.445,1036673024,988.65,999.93,0.0000,0.00,5311
5.305,13.157,1036673024,988.65,999.93,0.0000,0.00,5324
5.319,13.967,1036673024,988.65,999.93,0.0000,0.00,5338
5.332,13.505,1036673024,988.65,999.93,0.0000,0.00,5352
5.345,12.795,1036673024,988.65,999.93,0.0000,0.00,5365
5.359,14.160,1036673024,988.65,999.93,0.0000,0.00,5379
5.373,13.429,1036673024,988.65,999.93,0.0000,0.00,5392
5.386,13.250,1036673024,988.65,999.93,0.0000,0.00,5405
5.401,14.925,1036673024,988.65,999.93,0.0000,0.00,5420
5.414,13.396,1036673024,988.65,999.93,0.0000,0.00,5434
5.429,14.738,1036673024,988.65,999.93,0.0000,0.00,5448
5.443,13.948,1036673024,988.65,999.93,0.0000,0.00,5462
5.455,12.451,1036673024,988.65,999.93,0.0000,0.00,5475
5.470,14.326,1036673024,988.65,999.93,0.0000,0.00,5489
5.482,12.562,1036673024,988.65,999.93,0.0000,0.00,5502
5.496,13.836,1036673024,988.65,999.93,0.0000,0.00,5516
5.510,13.711,1036673024,988.65,999.93,0.0000,0.00,5529
5.523,13.398,1036673024,988.65,999.93,0.0000,0.00,5543
5.537,13.490,1036673024,988.65,999.93,0.0000,0.00,5556
