timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
21.796,4.042,1134362624,1081.81,499.64,0.0000,0.00,10908,0.000,0.000,0.00,0
21.799,3.178,1134362624,1081.81,499.64,0.0000,0.00,10909,0.000,0.000,0.00,0
21.806,6.143,1134362624,1081.81,499.64,0.0000,0.00,10912,0.000,0.000,0.00,0
21.811,5.911,1134362624,1081.81,499.64,0.0000,0.00,10915,0.000,0.000,0.00,0
21.817,5.205,1134362624,1081.81,499.64,0.0000,0.00,10918,0.000,0.000,0.00,0
21.822,5.041,1134362624,1081.81,499.64,0.0000,0.00,10920,0.000,0.000,0.00,0
21.827,5.081,1138114560,1085.39,499.64,0.0000,0.00,10923,0.000,0.000,0.00,0
21.833,6.039,1138114560,1085.39,499.64,0.0000,0.00,10926,0.000,0.000,0.00,0
21.838,5.471,1138114560,1085.39,499.64,0.0000,0.00,10929,0.000,0.000,0.00,0
21.842,3.989,1138114560,1085.39,499.64,0.0000,0.00,10931,0.000,0.000,0.00,0
21.846,3.226,1138114560,1085.39,499.64,0.0000,0.00,10932,0.000,0.000,0.00,0
21.849,3.562,1138114560,1085.39,499.64,0.0000,0.00,10934,0.000,0.000,0.00,0
21.853,4.285,1138114560,1085.39,499.64,0.0000,0.00,10936,0.000,0.000,0.00,0
21.857,4.030,1138114560,1085.39,499.64,0.0000,0.00,10938,0.000,0.000,0.00,0
21.861,3.743,1138114560,1085.39,499.64,0.0000,0.00,10940,0.000,0.000,0.00,0
21.866,4.947,1138114560,1085.39,499.64,0.0000,0.00,10943,0.000,0.000,0.00,0
21.871,5.089,1138114560,1085.39,499.64,0.0000,0.00,10945,0.000,0.000,0.00,0
21.876,5.305,1138114560,1085.39,499.64,0.0000,0.00,10948,0.000,0.000,0.00,0
21.883,6.429,1138114560,1085.39,499.64,0.0000,0.00,10951,0.000,0.000,0.00,0
21.888,5.071,1138114560,1085.39,499.64,0.0000,0.00,10953,0.000,0.000,0.00,0
21.893,4.797,1138114560,1085.39,499.64,0.0000,0.00,10956,0.000,0.000,0.00,0
21.899,5.743,1138114560,1085.39,499.64,0.0000,0.00,10959,0.000,0.000,0.00,0
21.902,3.801,1138114560,1085.39,499.64,0.0000,0.00,10961,0.000,0.000,0.00,0
21.906,3.538,1138114560,1085.39,499.64,0.0000,0.00,10962,0.000,0.000,0.00,0
21.909,3.443,1138114560,1085.39,499.64,0.0000,0.00,10964,0.000,0.000,0.00,0
21.914,4.563,1138114560,1085.39,499.64,0.0000,0.00,10966,0.000,0.000,0.00,0
21.919,4.949,1138114560,1085.39,499.64,0.0000,0.00,10969,0.000,0.000,0.00,0
21.925,5.796,1138114560,1085.39,499.64,0.0000,0.00,10972,0.000,0.000,0.00,0
21.928,3.659,1138114560,1085.39,499.64,0.0000,0.00,10974,0.000,0.000,0.00,0
21.932,3.574,1138114560,1085.39,499.64,0.0000,0.00,10975,0.000,0.000,0.00,0
21.934,2.579,1138114560,1085.39,499.64,0.0000,0.00,10977,0.000,0.000,0.00,0
21.937,2.968,1138114560,1085.39,499.64,0.0000,0.00,10978,0.000,0.000,0.00,0
21.942,4.334,1138114560,1085.39,499.64,0.0000,0.00,10980,0.000,0.000,0.00,0
21.945,3.375,1138114560,1085.39,499.64,0.0000,0.00,10982,0.000,0.000,0.00,0
21.948,3.037,1138114560,1085.39,499.64,0.0000,0.00,10984,0.000,0.000,0.00,0
21.951,3.069,1138114560,1085.39,499.64,0.0000,0.00,10985,0.000,0.000,0.00,0
21.955,3.954,1138114560,1085.39,499.64,0.0000,0.00,10987,0.000,0.000,0.00,0
